root,HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.5122113724063616
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.5836686436869215
1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,3.393543407749701
1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0.5512573631928792
1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.713238516161674
1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.989592950207496
1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.6767999509188085
1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.025319307138419
1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.6961311995858726
1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.65252560001933
1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.99664386254182
1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.9875184506228285
1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.4796967299818906
1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.3829036127802552
1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.5402681832112782
1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.48398781030637456
1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.5507828129533016
1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.683566578046186
1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.674666758435728
1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.04762477072124
1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.0234216182166715
1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.4904815858082037
