root,HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance
1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0.525956025641026
1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,3.23904653846154
1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0.92978676923077
1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0.505544743589744
1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,2.115922625
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0.476570256410256
1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0.531448026315789
1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10.7495611794872
1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,37.76618
1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,20.024596
1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0.932586153846154
1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,37.5557710769231
1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,2.09752055
1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.585195394736842
1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,5.8326468974359
1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,37.661020425
1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1.30443723076923
1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,19.9399994871795
1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,21.2562105945946
1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0.638856789473684
1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,6.51510302564103
1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,10.9185587948718
1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,6.52784771794872
1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0.917641025641026
1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,2.164368475
1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,37.605915974359
1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0.532213820512821
